Names,variety,country_norm,color_simple,price_level,abv_level,ABV,Ratings,Ratingsnum,Prices
1849 Iris Pinot Noir 2018,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,30.99
1849 Declaration Napa Valley Cabernet Sauvignon 2014,"""Cabernet Sauvignon",US,Red Wine,high,medium,,4.1,7,80.99
19 Crimes Cabernet Sauvignon 2020,Cabernet Sauvignon,Australia,Red Wine,low,medium,0.0,3.9,68,10.99
19 Crimes The Punishment Pinot Noir 2020,Pinot Noir,Australia,Red Wine,low,medium,13.5,3.7,31,9.99
19 Crimes Snoop Cali Rose 2020,Rosé,US,Red Wine,low,low,10.5,3.9,32,13.99
19 Crimes Snoop Cali Red 2020,Other Red Blends,US,Red Wine,low,medium,0.0,4.3,126,13.99
19 Crimes Red Blend 2020,Other Red Blends,Australia,Red Wine,low,medium,0.0,3.9,50,9.99
19 Crimes The Banished Dark Red 2020,Other Red Blends,Australia,Red Wine,low,medium,0.0,4.2,32,16.99
19 Crimes The Block Sauvignon Blanc 2020,Sauvignon Blanc,Australia,White Wine,low,medium,0.0,2.5,7,9.99
19 Crimes The Warden 2018,"""Syrah/Shiraz",Australia,Red Wine,medium,medium,,3.7,12,20.99
19 Crimes Hard Chard 2021,Chardonnay,Australia,White Wine,medium,high,14.0,3.0,13,20.99
19 Crimes Martha's Chard 2020,Chardonnay,US,White Wine,low,medium,13.8,3.8,24,13.99
19 Crimes The Uprising 2020,Other Red Blends,Australia,Red Wine,low,medium,0.0,4.1,41,11.99
1924 Double Black Red Blend 2020,Other Red Blends,US,Red Wine,low,medium,0.0,4.3,9,11.99
1924 Port Barrel Aged Pinot Noir 2020,Pinot Noir,US,Red Wine,low,high,15.0,0.0,0,15.99
1924 Scotch Barrel Aged Chardonnay 2018,Chardonnay,US,White Wine,low,high,14.5,3.7,8,15.99
1924 Sauvignon Blanc 2020,Sauvignon Blanc,US,White Wine,low,medium,13.0,3.6,12,14.99
3 Rings Shiraz 2019,"""Syrah/Shiraz",US,Red Wine,low,medium,,0.0,0,18.99
4 Kilos Motor America Mallorca 2019,Other Red Wine,Spain,Red Wine,low,medium,12.0,0.0,0,19.99
4 Kilos Motor Blanc Mallorca 2020,Other White Wine,Spain,White Wine,medium,medium,12.5,0.0,0,25.99
4 Kilos Tierra de Mallorca 2019,Other Red Blends,Spain,Red Wine,medium,medium,0.0,0.0,0,43.99
7 Deadly Red 2019,"""Other Red Blends",US,Red Wine,low,medium,,0.0,0,16.99
7 Deadly Zins Zinfandel 2018,"""Zinfandel",US,Red Wine,low,medium,,3.8,18,14.99
7 Moons Red Blend 2020,Other Red Blends,Chile,Red Wine,low,medium,0.0,4.6,7,14.99
7Cellars The Farm Collection Pinot Noir 2019,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,30.99
7Cellars The Farm Collection Chardonnay 2019,"""Chardonnay",US,White Wine,low,medium,,0.0,0,19.99
7Cellars The Farm Collection Cabernet Sauvignon 2019,"""Cabernet Sauvignon",US,Red Wine,low,medium,,0.0,0,19.99
A by Acacia California Chardonnay 2020,Chardonnay,US,White Wine,low,medium,0.0,0.0,0,15.99
A Coroa Godello 2021,"""Godello",US,White Wine,medium,medium,,0.0,0,21.99
A Mano Negroamaro 2020,"""Negroamaro",US,Red Wine,low,medium,,0.0,0,14.99
A Mano Primitivo 2019,"""Primitivo",US,Red Wine,low,medium,,3.0,8,14.99
A Portela Mencia 2016,"""Mencia",US,Red Wine,medium,medium,,0.0,0,26.99
A to Z Essence Pinot Noir 2017,Pinot Noir,US,Red Wine,medium,medium,13.8,3.9,7,24.99
A to Z Rose Bubbles,Sparkling Rosé,US,Sparkling & Champagne,low,medium,12.5,3.9,48,18.99
A to Z Rose 2021,Rosé,US,Red Wine,low,medium,13.0,0.0,0,19.99
A to Z Pinot Noir 2019,"""Pinot Noir",US,Red Wine,medium,medium,,4.1,23,22.99
A to Z Essence Pinot Noir 2018,Pinot Noir,US,Red Wine,medium,medium,0.0,0.0,0,24.99
A to Z Pinot Gris 2021,Pinot Gris/Grigio,US,White Wine,low,medium,0.0,0.0,0,16.99
A to Z Chardonnay 2020,Chardonnay,US,White Wine,low,medium,13.0,0.0,0,18.99
A to Z Riesling 2021,"""Riesling",US,White Wine,low,medium,,0.0,0,19.99
A to Z Pinot Noir (375ML half-bottle) 2018,Pinot Noir,US,Red Wine,low,medium,13.5,0.0,0,14.99
A Tribute to Grace Vie Caprice Vineyard Grenache 2019,"""Grenache",US,Red Wine,medium,medium,,0.0,0,49.99
A Tribute to Grace Santa Barbara Highlands Vineyard Grenache 2019,"""Grenache",US,Red Wine,high,medium,,0.0,0,54.99
A. Christmann Pfalz Spatburgunder 2018,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,27.99
A. Margaine Extra Brut,"""Non-Vintage Sparkling Wine",France,Sparkling & Champagne,high,medium,,0.0,0,63.99
A.J. Adam Hofberg Reserve Riesling Trocken 2019,"""Riesling",US,White Wine,high,medium,,0.0,0,129.99
A.J. Adam Dhron Im Pfarrgarten Riesling Feinherb 2020,"""Riesling",US,White Wine,medium,medium,,0.0,0,25.99
A.J. Adam Dhron Hofberg Riesling Kabinett 2020,"""Riesling",US,White Wine,medium,medium,,0.0,0,32.99
A.J. Adam Hofberg Riesling Auslese 2019,"""Riesling",US,White Wine,high,medium,,0.0,0,84.99
A.R. Lenoble Brut Blanc de Blancs Grand Cru Mag 17,"""Non-Vintage Sparkling Wine",France,Sparkling & Champagne,high,medium,,0.0,0,63.99
A.R. Lenoble Brut Intense Mag 17,"""Non-Vintage Sparkling Wine",France,Sparkling & Champagne,high,medium,,0.0,0,55.99
A.R. Lenoble Brut Rose Terroirs,"""Sparkling Rosé",France,Sparkling & Champagne,high,medium,,0.0,0,65.99
A.R. Lenoble Cuvee Gentilhomme Grand Cru Blanc de Blancs 2013,"""Vintage Sparkling Wine",France,Sparkling & Champagne,high,medium,,0.0,0,119.99
A.R. Lenoble Brut Blanc de Blancs Grand Cru Mag 16,"""Non-Vintage Sparkling Wine",France,Sparkling & Champagne,high,medium,,0.0,0,57.99
Aalto 2019,"""Tempranillo",Spain,Red Wine,high,medium,,4.0,6,63.99
Aalto PS 2019,"""Tempranillo",Spain,Red Wine,high,medium,,0.0,0,159.99
Abacela Albarino 2021,"""Albarino",US,White Wine,medium,medium,,3.4,6,21.99
Abadia Retuerta Pago Negralada Tempranillo 2015,Tempranillo,Spain,Red Wine,high,medium,0.0,0.0,0,94.99
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2015,Cabernet Sauvignon,Spain,Red Wine,high,high,14.5,0.0,0,99.99
Abadia Retuerta Seleccion Especial 2017,Other Red Blends,Spain,Red Wine,medium,high,14.5,0.0,0,44.99
Abadia Retuerta Le Domaine Blanco 2019,Other White Blends,Spain,White Wine,high,medium,0.0,0.0,0,52.99
Abbadia Ardenga Brunello di Montalcino Vigna Piaggia 2017,"""Sangiovese",US,Red Wine,high,medium,,0.0,0,60.99
Abbazia di Novacella Gruner Veltliner 2021,"""Gruner Veltliner",US,White Wine,medium,medium,,0.0,0,24.99
Abbazia di Novacella Pinot Nero 2021,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,27.99
Abbazia di Novacella Kerner 2021,"""Other White Wine",US,White Wine,medium,medium,,4.2,8,21.99
Abbazia di Novacella Praepositus Kerner 2020,"""Other White Wine",US,White Wine,medium,medium,,0.0,0,39.99
Abbazia di Novacella Pinot Grigio 2021,"""Pinot Gris/Grigio",US,White Wine,medium,medium,,0.0,0,25.99
Abbona Barolo Ravera 2015,"""Nebbiolo",US,Red Wine,high,medium,,0.0,0,61.99
Abbona Papa Celso Dolcetto 2021,"""Dolcetto",Italy,Red Wine,medium,medium,,0.0,0,24.99
Abbona Rinaldi Barbera d'Alba 2019,"""Barbera",US,Red Wine,medium,medium,,0.0,0,24.99
Abbott Claim Pinot Noir 2018,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,74.99
Abreu Vineyards Cappella 2011,"""Bordeaux Red Blends",US,Red Wine,high,medium,,0.0,0,459.97
Abreu Vineyards Cappella 2008,"""Bordeaux Red Blends",US,Red Wine,high,medium,,0.0,0,349.97
Abreu Vineyards Madrona Ranch 2013,"""Bordeaux Red Blends",US,Red Wine,high,medium,,0.0,0,799.97
Abreu Vineyards Madrona Ranch 2003,"""Bordeaux Red Blends",US,Red Wine,high,medium,,0.0,0,469.97
Abreu Vineyards Madrona Ranch 2008,"""Bordeaux Red Blends",US,Red Wine,high,medium,,0.0,0,459.97
Abreu Vineyards Thorevilos 2009,"""Bordeaux Red Blends",US,Red Wine,high,medium,,0.0,0,579.97
Abreu Vineyards Cappella 2007,"""Bordeaux Red Blends",US,Red Wine,high,medium,,0.0,0,439.97
Acacia Carneros Pinot Noir 2019,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,27.99
Accendo Cellars Cabernet Sauvignon 2017,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,349.99
Accendo Cellars Laurea Cabernet Sauvignon 2018,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,129.99
Achaval-Ferrer Finca Mirador Malbec 2018,"""Malbec",US,Red Wine,high,medium,,0.0,0,129.99
Achaval-Ferrer Finca Bella Vista Malbec 2018,"""Malbec",US,Red Wine,high,medium,,0.0,0,129.99
Achaval-Ferrer Mendoza Malbec 2019,"""Malbec",US,Red Wine,medium,medium,,4.5,12,20.99
Achaval-Ferrer Quimera 2018,"""Bordeaux Red Blends",France,Red Wine,medium,medium,,4.2,18,39.99
Achaval-Ferrer Mendoza Cabernet Sauvignon 2018,"""Cabernet Sauvignon",US,Red Wine,low,medium,,3.6,7,18.99
Achaval-Ferrer Finca Altamira Malbec 2018,"""Malbec",US,Red Wine,high,medium,,0.0,0,149.99
Acinum Valpolicella Ripasso 2017,"""Other Red Blends",US,Red Wine,medium,medium,,0.0,0,25.99
Acinum Extra Dry Prosecco,"""Non-Vintage Sparkling Wine",US,Sparkling & Champagne,low,medium,,3.8,90,13.99
Acinum Soave Classico 2021,"""Garganega",US,White Wine,low,medium,,0.0,0,12.99
Acinum Valpolicella 2020,"""Other Red Blends",US,Red Wine,low,medium,,0.0,0,17.99
Acrobat Pinot Gris 2021,Pinot Gris/Grigio,US,White Wine,low,medium,13.0,4.3,17,12.99
Acrobat Pinot Noir 2019,Pinot Noir,US,Red Wine,low,medium,13.5,3.2,9,19.99
Acumen Peak Cabernet Sauvignon 2016,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,129.99
Acumen Peak Cabernet Sauvignon Edcora Vineyard 2016,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,169.99
Adami Bosco di Gica Prosecco Superiore,"""Non-Vintage Sparkling Wine",US,Sparkling & Champagne,low,medium,,4.3,142,19.99
Adami Garbel Brut Prosecco,"""Non-Vintage Sparkling Wine",US,Sparkling & Champagne,low,medium,,4.1,72,15.99
ADAMVS Teres Cabernet Sauvignon 2016,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,149.99
ADAMVS Quintvs 2016,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,249.99
Adaptation by Odette Petite Sirah 2018,"""Petite Sirah",US,Red Wine,high,medium,,0.0,0,59.99
Adaptation by Odette Cabernet Sauvignon 2018,"""Cabernet Sauvignon",US,Red Wine,high,medium,,4.9,5,84.99
Addax Cabernet Sauvignon 2018,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,165.97
Addendum Napa Valley Cabernet Sauvignon 2017,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,89.99
Adelina Wines Watervale Riesling 2020,"""Riesling",US,White Wine,medium,medium,,0.0,0,29.99
Adelina Wines Clare Valley Shiraz 2020,"""Syrah/Shiraz",US,Red Wine,medium,medium,,0.0,0,43.99
Adelina Wines Chardonnay 2018,"""Chardonnay",US,White Wine,medium,medium,,0.0,0,27.99
Adelsheim Pinot Noir 2021,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,36.99
Adelsheim Staking Claim Chardonnay 2017,"""Chardonnay",US,White Wine,medium,medium,,3.8,6,34.99
Adelsheim Willamette Valley Chardonnay 2019,"""Chardonnay",US,White Wine,medium,medium,,4.0,5,27.99
Adeptos Reserve Cabernet Sauvignon 2018,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,165.97
Adobe Road Sangiacomo Vineyard Chardonnay 2017,"""Chardonnay",US,White Wine,high,medium,,0.0,0,58.99
Adobe Road Apex Red Blend 2018,"""Other Red Blends",US,Red Wine,high,medium,,0.0,0,98.99
Adobe Road The Shift Red Blend 2016,"""Other Red Blends",US,Red Wine,high,medium,,4.3,12,59.99
Adobe Road Bavarian Lion Vineyard Cabernet Sauvignon 2015,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,77.99
Adobe Road The 24 Red Blend 2016,"""Other Red Blends",US,Red Wine,high,medium,,0.0,0,69.99
Adobe Road Redline Red Blend 2018,"""Other Red Blends",US,Red Wine,high,medium,,0.0,0,52.99
Adriano Marco e Vittorio Basarin Barbaresco 2018,"""Nebbiolo",US,Red Wine,medium,medium,,4.4,56,32.99
Adriano Marco e Vittorio Sanadaive Barbaresco 2018,"""Nebbiolo",US,Red Wine,medium,medium,,4.4,59,31.99
Aeris Bianco Centennial Mountain Estate 2017,"""Carricante",US,White Wine,medium,medium,,0.0,0,49.99
Aeris Rosso Centennial Mountain Estate 2017,"""Other Red Blends",US,Red Wine,high,medium,,0.0,0,71.99
Agricola de Borja Vina Borgia 2020,"""Grenache",US,Red Wine,low,medium,,3.3,5,9.99
Agricola de Borja Monte Oton Garnacha 2020,"""Grenache",US,Red Wine,low,medium,,0.0,0,10.99
Agricola Punica Barrua Isola dei Nuraghi 2017,"""Other Red Blends",US,Red Wine,high,medium,,0.0,0,52.99
Agricola Punica Samas 2021,"""Other White Blends",US,White Wine,medium,medium,,0.0,0,24.99
Agricola Punica Montessu Isola dei Nuraghi 2020,"""Other Red Blends",US,Red Wine,medium,medium,,0.0,0,40.99
Agua de Piedra Gran Seleccion Malbec 2021,"""Malbec",US,Red Wine,low,medium,,4.9,23,14.99
Agua de Piedra Seleccion Malbec 2021,"""Malbec",US,Red Wine,low,medium,,0.0,0,10.99
Agusti Torello Mata Cava KRIPTA Brut Nature Gran Reserva 2013,"""Vintage Sparkling Wine",US,Sparkling & Champagne,high,medium,,0.0,0,89.99
Agusti Torello Mata Xic Xarel-lo 2020,"""Xarel-lo",US,White Wine,low,medium,,0.0,0,13.99
Agusti Torello Mata Gran Reserva Cava Brut Nature 2014,"""Vintage Sparkling Wine",US,Sparkling & Champagne,medium,medium,,0.0,0,28.99
Agusti Torello Mata Brut Reserva Cava 2018,"""Vintage Sparkling Wine",US,Sparkling & Champagne,medium,medium,,0.0,0,22.99
Aia Vecchia Vermentino 2021,"""Vermentino",Italy,White Wine,low,medium,,3.7,5,17.99
Aia Vecchia Sor Ugo 2019,"""Bordeaux Red Blends",France,Red Wine,medium,medium,,0.0,0,42.99
Aia Vecchia Lagone Toscana 2018,"""Bordeaux Red Blends",France,Red Wine,low,medium,,3.8,35,17.99
Aia Vecchia Lagone Toscana 2019,"""Bordeaux Red Blends",France,Red Wine,low,medium,,0.0,0,17.99
Aichenberg Premium Gruner Veltliner 2021,Gruner Veltliner,US,White Wine,low,medium,13.0,0.0,0,11.99
Aix Rose (3 Liter Bottle) 2021,"""Rosé",US,Red Wine,high,medium,,0.0,0,149.97
Aix Rose 2021,"""Rosé",US,Red Wine,medium,medium,,3.7,23,20.99
Alain Brumont Cotes de Gascogne Blanc 2021,"""Other White Blends",US,White Wine,low,medium,,0.0,0,13.99
Alain Brumont Chateau Bouscasse Madiran 2016,"""Other Red Blends",US,Red Wine,medium,medium,,3.7,5,29.99
Alain Brumont Cotes de Gascogne Rouge 2019,"""Other Red Blends",US,Red Wine,low,medium,,0.0,0,12.99
Alain Chavy St-Aubin Premier Cru En Remilly 2017,"""Chardonnay",US,White Wine,high,medium,,0.0,0,79.98
Alain Chavy Puligny-Montrachet 2020,"""Chardonnay",US,White Wine,high,medium,,0.0,0,99.99
Alain Chavy Puligny-Montrachet Les Folatieres Premier Cru 2019,"""Chardonnay",US,White Wine,high,medium,,0.0,0,139.99
Alain Chavy Puligny-Montrachet Les Folatieres Premier Cru 2020,"""Chardonnay",US,White Wine,high,medium,,0.0,0,139.99
Alain Chavy Bourgogne Blanc 2020,"""Chardonnay",France,White Wine,medium,medium,,0.0,0,29.99
Alain Chavy Puligny-Montrachet Les Charmes 2020,"""Chardonnay",US,White Wine,high,medium,,0.0,0,109.99
Alain Chavy Puligny-Montrachet Les Champs Gains Premier Cru 2018,"""Chardonnay",US,White Wine,high,medium,,0.0,0,134.99
Alain de la Treille Chardonnay 2020,"""Chardonnay",France,White Wine,low,medium,,0.0,0,16.99
Alain Graillot Crozes-Hermitage Blanc 2020,"""Rhone White Blends",US,White Wine,medium,medium,,0.0,0,36.99
Alain Jaume Chateau Mazane Vacqueyras 2017,"""Rhone Red Blends",US,Red Wine,medium,medium,,0.0,0,33.99
Alain Voge Cotes Du Rhone Les Peyrouses 2018,"""Syrah/Shiraz",US,Red Wine,medium,medium,,3.0,5,29.99
Alain Voge Cotes Du Rhone Les Peyrouses 2019,"""Syrah/Shiraz",US,Red Wine,medium,medium,,0.0,0,30.99
Alain Voge Les Cotes Saint Joseph 2019,"""Syrah/Shiraz",US,Red Wine,medium,medium,,0.0,0,49.99
Alain Voge Cornas Vieilles Vignes 2018,"""Syrah/Shiraz",US,Red Wine,high,medium,,0.0,0,84.99
Alain Voge Les Cotes Saint Joseph 2018,"""Syrah/Shiraz",US,Red Wine,high,medium,,0.0,0,56.99
Alain Voge Cornas Vieilles Vignes 2009,"""Syrah/Shiraz",US,Red Wine,high,medium,,0.0,0,289.97
Alain Voge Cornas Les Chailles 2019,"""Syrah/Shiraz",US,Red Wine,high,medium,,0.0,0,65.99
Alamos Mendoza Seleccion Malbec 2020,"""Malbec",US,Red Wine,low,medium,,0.0,0,17.99
Alamos Red Blend 2020,"""Other Red Blends",US,Red Wine,low,medium,,4.3,8,11.99
Alamos Malbec 2021,"""Malbec",US,Red Wine,low,medium,,0.0,0,12.99
Alamos Cabernet Sauvignon 2020,"""Cabernet Sauvignon",US,Red Wine,low,medium,,3.8,10,11.99
Alban Seymour's Vineyard Syrah 1999,"""Syrah/Shiraz",US,Red Wine,high,medium,,0.0,0,219.97
Alban Lorraine Estate Syrah 2002,"""Syrah/Shiraz",US,Red Wine,high,medium,,0.0,0,239.97
Alban Reva Estate Syrah 2017,"""Syrah/Shiraz",US,Red Wine,high,medium,,0.0,0,129.97
Alban Forsythe Vineyard The Mason Mourvedre 2015,"""Mourvedre",US,Red Wine,high,medium,,0.0,0,219.97
Alban Patrina Alban Estate Syrah 2019,"""Syrah/Shiraz",US,Red Wine,high,medium,,0.0,0,72.99
Alban Reva Estate Syrah (1.5 Liter Magnum) 2008,"""Syrah/Shiraz",US,Red Wine,high,medium,,0.0,0,279.97
Alberico Appia Antica 400 Bianco 2020,"""Other White Blends",US,White Wine,low,medium,,0.0,0,19.99
Alberico Appia Antica 400 Rosso 2019,"""Bordeaux Red Blends",France,Red Wine,low,medium,,0.0,0,19.99
Alberico Rosso 2016,"""Bordeaux Red Blends",France,Red Wine,high,medium,,0.0,0,89.99
Alberico Bianco 2016,"""Semillon",US,White Wine,high,medium,,0.0,0,67.99
Albert Bichot Beaune Clos des Mouches Premier Cru Blanc Domaine du Pavillon 2019,"""Chardonnay",US,White Wine,high,medium,,0.0,0,199.99
Albert Bichot Macon-Villages 2021,"""Chardonnay",US,White Wine,medium,medium,,0.0,0,26.99
Albert Bichot Chambolle-Musigny Les Chabiots Premier Cru 2018,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,179.99
Albert Bichot Santenay Blanc 2019,"""Chardonnay",US,White Wine,high,medium,,0.0,0,79.99
Albert Bichot Chablis Les Lys Premier Cru Domaine Long-Depaquit 2019,"""Chardonnay",US,White Wine,high,medium,,0.0,0,64.99
Albert Bichot Bourgogne Passetoutgrain 2019,"""Other Red Blends",France,Red Wine,medium,medium,,0.0,0,24.99
Albert Bichot Vosne-Romanee Malconsorts Premier Cru Domaine du Clos Frantin 2017,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,228.99
Albert Bichot Grands-Echezeaux Grand Cru Domaine du Clos Frantin 2018,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,499.99
Albert Bichot Corton Clos Des Marechaudes Grand Cru Domaine du Pavillon 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,219.99
Albert Bichot Morey-St-Denis Les Sorbets Premier Cru 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,139.99
Albert Bichot Echezeaux Domaine du Clos Frantin Grand Cru 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,379.99
Albert Bichot Bourgogne Cote d'Or Domaine du Clos Frantin 2019,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,48.99
Albert Bichot Pommard Les Rugiens Premier Cru Domaine du Pavillon 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,169.99
Albert Bichot Montagny Premier Cru 2019,"""Chardonnay",US,White Wine,high,medium,,0.0,0,51.99
Albert Bichot Gevrey-Chambertin Les Evocelles 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,119.99
Albert Bichot Chablis Domaine Long-Depaquit Moutonne Grand Cru Monopole 2019,"""Chardonnay",US,White Wine,high,medium,,0.0,0,219.99
Albert Bichot Horizon de Bichot Chardonnay 2020,Chardonnay,France,White Wine,low,medium,0.0,0.0,0,18.99
Albert Bichot Saint-Veran 2019,"""Chardonnay",US,White Wine,medium,medium,,0.0,0,28.99
Albert Bichot Vosne-Romanee Malconsorts Premier Cru Domaine du Clos Frantin 2018,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,279.99
Albert Bichot Aloxe-Corton Clos des Marechaudes Premier Cru Domaine du Pavillon 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,169.99
Albert Bichot Chassagne-Montrachet Morgeot Premier Cru 2019,"""Chardonnay",US,White Wine,high,medium,,0.0,0,169.99
Albert Bichot Chambertin Grand Cru 2018,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,649.99
Albert Bichot Clos de la Roche Grand Cru 2017,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,354.99
Albert Bichot Bourgogne Vieilles Vignes Pinot Noir 2020,"""Pinot Noir",France,Red Wine,medium,medium,,3.5,6,25.99
Albert Bichot Cremant de Bourgogne Brut Reserve,"""Non-Vintage Sparkling Wine",France,Sparkling & Champagne,medium,medium,,3.9,25,26.99
Albert Bichot Aloxe-Corton Les Fournieres Premier Cru Domaine du Pavillon Monopole 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,129.99
Albert Bichot Vosne-Romanee Domaine du Clos Frantin 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,149.99
Albert Bichot Vosne-Romanee Les Rouges Premier Cru Domaine du Clos Frantin 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,189.0
Albert Bichot Mercurey En Pierre Milley Domaine Adelie 2019,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,49.99
Albert Bichot Savigny Les Beaune 2017,"""Pinot Noir",US,Red Wine,medium,medium,,0.0,0,42.99
Albert Bichot Fixin Clos de la Perriere Premier Cru Monopole 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,119.99
Albert Bichot Cremant de Bourgogne Brut Rose,"""Sparkling Rosé",France,Sparkling & Champagne,medium,medium,,4.1,30,39.99
Albert Bichot Chablis Les Clos Grand Cru Domaine Long-Depaquit 2019,"""Chardonnay",US,White Wine,high,medium,,0.0,0,119.99
Albert Bichot Grands-Echezeaux Grand Cru Domaine du Clos Frantin 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,389.99
Albert Bichot Meursault Domaine du Pavillon 2019,"""Chardonnay",US,White Wine,high,medium,,0.0,0,129.99
Albert Boxler Riesling Grand Cru Sommerberg 2016,"""Riesling",US,White Wine,high,medium,,0.0,0,81.99
Albert Boxler Muscat 2016,"""Muscat",US,White Wine,medium,medium,,3.9,6,44.99
Albert Boxler Riesling Grand Cru Sommerberg Eckberg 2018,"""Riesling",US,White Wine,high,medium,,0.0,0,109.99
Albert Boxler Riesling Grand Cru Brand 2015,"""Riesling",US,White Wine,high,medium,,0.0,0,93.99
